city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
Qaryat Sulūq,LY,81604,1648790135,31.6682,20.2521,100,overcast clouds,65.82,64.54,65.82,65.82,52,10000,13.89
Sainte-Rose,GP,3578447,1648790135,16.3324,-61.6979,40,scattered clouds,73.44,74.37,72.18,73.44,83,10000,4.61
Mana,GF,3381041,1648790136,5.6592,-53.7767,97,overcast clouds,76.08,77.29,76.08,76.08,83,10000,7.38
Le Lorrain,MQ,3570427,1648790136,14.8329,-61.0567,93,overcast clouds,74.75,73.47,74.75,75.15,33,10000,19.48
Inhambane,MZ,1045114,1648790137,-23.865,35.3833,20,few clouds,76.98,78.8,76.98,76.98,94,10000,0.0
Saryozek,KZ,1519580,1648790137,44.3583,77.9753,7,clear sky,59.2,56.05,59.2,59.2,26,10000,7.25
Naryan-Mar,RU,523392,1648790137,67.6713,53.087,90,overcast clouds,13.01,1.35,13.01,13.01,93,10000,8.46
DeLand,US,4152890,1648790128,29.0283,-81.3031,100,moderate rain,68.76,69.71,67.89,69.94,93,10000,10.36
Lata,PT,2738381,1648790138,40.1629,-8.3327,38,scattered clouds,42.75,42.75,42.75,42.75,98,10000,1.54
Tsumeb,NA,3352593,1648790138,-19.2333,17.7167,36,scattered clouds,64.62,64.96,64.62,64.62,89,10000,7.05
Oistins,BB,3373652,1648790139,13.0667,-59.5333,75,broken clouds,77.09,78.17,77.09,77.09,78,10000,20.71
Lagoa,PT,3372964,1648789848,39.05,-27.9833,100,overcast clouds,60.22,60.31,60.22,60.22,93,10000,25.39
Port Hueneme,US,5384339,1648790139,34.1478,-119.1951,0,mist,54.82,54.23,52.92,60.46,90,9656,3.44
Xingyi,CN,1787599,1648790140,24.1877,102.817,100,overcast clouds,45.34,41.83,45.34,45.34,88,10000,6.51
Opuwo,NA,3354077,1648790140,-18.0607,13.84,100,overcast clouds,69.12,69.21,69.12,69.12,74,10000,5.21
Koulikoro,ML,2454532,1648790140,14.0,-7.75,98,overcast clouds,79.09,79.09,79.09,79.09,10,10000,8.19
Shubarshi,KZ,608270,1648790141,48.5872,57.1869,1,clear sky,37.74,33.78,37.74,37.74,86,10000,5.06
Pisco,PE,3932145,1648790141,-13.7,-76.2167,0,clear sky,64.45,64.45,63.01,64.45,82,10000,10.36
Umm Kaddadah,SD,364933,1648790141,13.6017,26.6876,0,clear sky,75.38,73.18,75.38,75.38,12,10000,14.61
Hingoli,IN,1270072,1648790142,19.7167,77.15,3,clear sky,96.96,91.96,96.96,96.96,10,10000,8.28
Bubaque,GW,2374583,1648790142,11.2833,-15.8333,68,broken clouds,74.89,75.51,74.89,74.89,73,10000,9.1
Carauari,BR,3664659,1648790143,-4.8828,-66.8958,85,overcast clouds,72.34,73.92,72.34,72.34,99,9319,2.15
Kaa-Khem,RU,1505187,1648790143,51.6833,94.7333,99,overcast clouds,27.93,27.93,27.93,27.93,77,10000,1.1
Port Hardy,CA,6111862,1648790119,50.6996,-127.4199,100,overcast clouds,41.18,39.22,41.18,42.8,100,10000,3.44
Iqaluit,CA,5983720,1648790143,63.7506,-68.5145,100,light snow,24.53,16.56,24.53,24.53,93,10000,6.91
Hearst,CA,5973108,1648790144,49.6835,-83.6665,100,overcast clouds,19.65,7.68,19.65,19.65,93,717,11.23
Sitka,US,5557293,1648790144,57.0531,-135.33,100,overcast clouds,42.69,35.29,42.69,42.69,65,10000,14.97
Vila Velha,BR,3445026,1648790145,-20.3297,-40.2925,0,clear sky,76.95,78.62,76.95,76.95,91,10000,2.3
Pringsewu,ID,1630639,1648790145,-5.3582,104.9744,99,overcast clouds,87.6,95.67,87.6,87.6,63,10000,2.08
Evensk,RU,2125693,1648790145,61.95,159.2333,28,scattered clouds,18.0,7.93,18.0,18.0,73,10000,7.83
Olafsvik,IS,3414079,1648790146,64.8945,-23.7142,100,overcast clouds,39.13,33.75,39.13,39.13,80,10000,7.58
Kalmunai,LK,1242110,1648790146,7.4167,81.8167,28,scattered clouds,85.93,93.24,85.93,85.93,66,10000,8.95
Bethanien,NA,3358416,1648790146,-26.502,17.1583,0,clear sky,62.47,61.05,62.47,62.47,56,10000,1.77
Taoudenni,ML,2450173,1648790147,22.6783,-3.9836,100,overcast clouds,74.25,71.94,74.25,74.25,12,10000,7.56
Tuatapere,NZ,2180815,1648790147,-46.1333,167.6833,43,scattered clouds,57.79,56.05,57.79,57.79,59,10000,5.1
Roald,NO,3141667,1648790148,62.5833,6.1333,75,light snow,28.36,24.57,22.12,31.75,100,10000,3.44
Panama City,PA,3703443,1648789890,8.9936,-79.5197,20,few clouds,79.05,79.05,76.8,80.13,77,10000,4.61
Cockburn Town,TC,3576994,1648789822,21.4612,-71.1419,3,clear sky,77.02,78.22,77.02,77.02,81,10000,25.55
Kamiiso,JP,2129766,1648790148,41.8167,140.65,75,broken clouds,39.58,30.33,39.58,39.58,41,10000,18.41
Kalāleh,IR,129512,1648790149,37.3807,55.4916,0,clear sky,64.0,63.3,61.16,64.0,68,10000,0.0
Kalisz,PL,3096880,1648790149,51.7611,18.091,100,overcast clouds,32.7,21.72,32.7,32.7,57,10000,17.29
